Sample,Ax,Ay,Az,Gx,Gy,Gz
0,853,-1394,6042,-384,-1871,1640
1,4954,-5433,4836,-1939,-752,1442
2,4954,-5433,4836,-1939,-752,1442
3,4954,-5433,4836,-1939,-752,1442
4,4954,-5433,4836,-1939,-752,1442
5,4954,-5433,4836,-1939,-752,1442
6,4954,-5433,4836,-1939,-752,1442
7,4954,-5433,4836,-1939,-752,1442
8,4954,-5433,4836,-1939,-752,1442
9,4954,-5433,4836,-1939,-752,1442
10,4954,-5433,4836,-1939,-752,1442
11,4954,-5433,4836,-1939,-752,1442
12,-1129,-3647,16162,-26710,-15877,8945
13,-1129,-3647,16162,-26710,-15877,8945
14,-1129,-3647,16162,-26710,-15877,8945
15,-1129,-3647,16162,-26710,-15877,8945
16,-1129,-3647,16162,-26710,-15877,8945
17,-1129,-3647,16162,-26710,-15877,8945
18,-1129,-3647,16162,-26710,-15877,8945
19,-1129,-3647,16162,-26710,-15877,8945
20,-1129,-3647,16162,-26710,-15877,8945
21,-1129,-3647,16162,-26710,-15877,8945
22,-1129,-3647,16162,-26710,-15877,8945
23,-1129,-3647,16162,-26710,-15877,8945
24,-1129,-3647,16162,-26710,-15877,8945
25,-1129,-3647,16162,-26710,-15877,8945
26,-1129,-3647,16162,-26710,-15877,8945
27,-1129,-3647,16162,-26710,-15877,8945
28,-1129,-3647,16162,-26710,-15877,8945
29,-1129,-3647,16162,-26710,-15877,8945
30,-1129,-3647,16162,-26710,-15877,8945
31,-1129,-3647,16162,-26710,-15877,8945
32,-1129,-3647,16162,-26710,-15877,8945
33,-1129,-3647,16162,-26710,-15877,8945
34,-1129,-3647,16162,-26710,-15877,8945
35,-1129,-3647,16162,-26710,-15877,8945
36,-1129,-3647,16162,-26710,-15877,8945
37,-1129,-3647,16162,-26710,-15877,8945
38,-1129,-3647,16162,-26710,-15877,8945
39,-1129,-3647,16162,-26710,-15877,8945
40,-1129,-3647,16162,29797,8307,30026
