Sample,Ax,Ay,Az,Gx,Gy,Gz
0,3204,3117,1359,593,-1552,-17
1,5968,-1823,-7284,352,253,1787
2,5320,5044,-7586,-477,38,-713
3,-7301,-4062,-2681,904,1985,-274
4,432,-4377,-3232,1990,-1868,-320
5,392,-4501,-6932,1859,-1460,1578
6,5913,2303,-3645,1472,1666,-1036
7,362,633,-3234,225,744,-974
8,-6227,-3973,-2133,1414,1254,1110
9,-4425,-809,7035,-1464,953,-1188
10,680,2017,1053,-1303,-388,-1467
11,-1406,2814,-4859,-1256,-526,1239
12,-7040,4924,5574,-1033,763,829
13,5388,-6341,-7425,-782,-991,1210
14,1194,6448,-4833,-984,1349,47
15,-1072,3018,1548,-66,1652,-1583
16,-7160,-7843,3478,-1632,572,-964
17,2739,-5008,-1270,1284,-1913,-124
18,3759,-931,-6090,1473,-1491,1416
19,781,3567,-5727,-463,-1731,1328
20,7930,2996,1424,-220,1317,1572
21,-3037,-1642,-2624,-122,-1326,-1322
22,3373,-5645,3006,277,943,958
23,-598,2499,-6229,-1853,-539,-641
24,150,-2867,4535,-1120,954,-1253
25,-5241,-5552,135,452,735,-1333
26,-3077,-1810,-1446,409,-1786,-700
27,2867,7958,6144,-1567,-954,-1623
28,7082,-887,287,-1845,1785,-552
29,2749,5737,6977,428,53,-1885
30,-4116,4003,2215,561,-483,603
31,7488,2991,-1097,1588,1492,1474
32,-4940,2439,-1752,-369,101,1843
33,-7815,-6166,-3138,-1770,-565,-1512
34,6511,4406,-2521,-1973,1584,-1929
35,4843,-770,3213,-1911,1560,-192
36,4642,-3338,-7845,-1405,18,1984
37,-6630,-6116,3543,232,-1258,86
38,3006,1982,-6759,193,-1717,-616
39,-857,-173,-7521,-888,-1919,-1238
40,1772,-3242,-762,1254,1183,1305
41,-686,1044,-7244,-137,-380,1902
42,-6670,2095,-3638,-1390,1217,1179
43,1057,6367,-1497,1737,-1676,1379
44,-6818,4443,2006,1892,1409,1170
45,3799,4148,-6320,1872,-1847,1541
46,4646,-1119,-6363,-162,-1228,557
47,-3183,-4047,-6107,-999,1757,-113
48,6528,1424,6403,1781,1115,-181
49,5265,-6951,-286,-715,-1475,1786
50,-3711,-1872,170,1163,-318,1513
51,3539,-1411,3722,207,1277,1005
52,1613,7413,5533,511,1081,-323
53,-1583,1733,5806,811,1157,-1102
54,3151,5872,-2866,-1677,913,-1108
55,6427,7332,-798,1407,447,-1018
56,-2013,2224,5706,888,1225,-1378
57,2648,-4393,-4071,-1680,-479,22
58,-6437,875,3898,-1801,969,-707
59,-2622,-7142,-953,1923,-1846,1276
60,3317,-7673,-4964,-241,408,1318
61,7402,5864,-495,1677,1619,1717
62,6894,4907,-3126,-969,1391,710
63,5005,-6892,-3035,1492,-1279,-549
64,4834,5844,6925,-23,-882,-1699
65,130,4750,6508,1200,968,1925
66,-6046,6784,-2270,1216,1789,385
67,4703,-3705,-4096,-1746,734,1380
68,4349,-2364,-744,832,139,492
69,-1346,129,-1945,-99,-1718,1668
70,4347,-6376,-665,-1418,-476,82
71,-1454,2380,4458,387,-519,364
72,-6403,6859,-7748,995,-292,1439
73,5889,-2417,43,1824,-52,-1577
74,7419,2383,3483,-325,-1762,-709
75,5764,-1240,2520,1922,-950,278
76,5405,5025,-5069,-1117,-767,-1570
77,-4642,4219,-2669,791,1179,1720
78,6827,-2601,7235,167,-857,-1724
79,-693,2269,4438,-564,-707,270
80,-2541,-4204,2718,1496,-1452,-365
81,6092,2190,-2472,-1960,367,1366
82,-306,843,-5730,-918,167,1624
83,-1063,-301,-5010,1882,-1625,842
84,803,-3107,478,-1528,983,-1600
85,-338,6058,-4302,1428,-1257,-571
86,44,-3770,-7509,-676,-1004,-1931
87,-6294,-2973,376,805,-860,1027
88,-7788,4752,-4604,886,1303,-403
89,2259,-6674,-2309,-1150,1276,-1913
90,2906,7658,1151,-765,-144,-1100
91,-4163,1203,-4014,1042,853,1322
92,-2654,-303,-6318,166,1080,1677
93,-2510,4174,1358,-1635,673,533
94,-6284,2340,-4464,-1776,-1401,1869
95,-7965,7047,-219,56,-143,-1480
96,-1160,2509,7907,692,1993,1508
97,-2403,-1386,1965,-1524,-560,-1463
98,-7908,-2936,3156,-931,-1500,-1024
99,-2626,-5885,-2551,-458,-1520,1658
100,-2979,-146,-7339,-1584,-835,948
101,-6550,-6935,-585,-135,-886,-798
102,-1690,-1426,4903,-425,-1196,1868
103,-4440,6008,7603,584,-633,-1161
104,-6023,-4502,-2231,-1776,-1531,-719
105,6426,-1034,-2343,-974,-18,-1359
106,-2100,6383,-7715,-578,-350,1107
107,-7162,-5780,-7338,-1869,1143,452
108,-6448,-3436,3635,34,-1821,-272
109,-1601,-357,-6186,1430,-689,-1182
110,7936,1985,1790,376,1978,1226
111,-1667,4054,3221,-371,1946,-851
112,-1052,1935,6937,-1194,706,1219
113,1601,3190,2853,-794,-8,-38
114,-52,-2362,4371,-1492,-334,-153
115,5187,-2652,-3754,-344,-2,-329
116,-2906,-2825,164,1196,-1814,268
117,4774,2099,-1462,1124,133,-313
118,-20,-4905,-1182,-1312,681,-303
119,7891,-3296,4015,562,1357,-723
120,-3496,3798,-6242,772,1702,72
