Sample,Ax,Ay,Az,Gx,Gy,Gz
0,-3432,-412,3997,-1956,1529,-346
1,-2796,-6047,-817,172,-1558,-1631
2,1036,1503,4931,1275,-163,418
3,-4625,-4117,5212,-422,-1254,-1183
4,-1233,2699,-963,1349,123,-1793
5,92,1735,5279,166,-279,-310
6,5840,-6528,5469,-489,1888,-1140
7,-1790,-4561,-2095,-328,-1170,-1391
8,-2958,-1386,-1923,-44,-420,1236
9,-4692,-330,-4672,-1388,1938,-723
10,6103,-1890,7036,-1964,-755,375
11,-4584,-7369,-4018,1298,1595,50
12,-4285,-2610,1691,-1651,-141,-474
13,667,-7123,7862,1208,72,-507
14,-7123,3848,-1586,1030,1974,1471
15,-1852,-1867,6208,1608,-1897,-688
16,-1213,6977,2513,-182,1130,1713
17,4668,5737,4840,357,1190,-1904
18,-1730,1648,4172,-1458,1937,804
19,-7866,-2903,-3921,-1067,181,1340
20,-4372,-3162,4657,-1327,962,390
21,3917,-6609,-7350,-1321,-1698,944
22,-7627,2917,-6789,875,-159,-268
23,-4004,-6886,339,-1438,795,668
24,-4268,395,-17,1920,1454,-1333
25,-1984,1110,3887,547,53,133
26,-2327,6230,5976,880,495,928
27,-518,-90,2289,-1251,-1686,1547
28,6132,4439,6226,1381,898,-1210
29,7026,1625,-4742,1458,1466,-776
30,2617,-2980,2364,1986,-821,-1999
31,5450,-665,-7752,593,-1526,-846
32,7172,1341,2432,25,1457,962
33,-3731,2462,5500,686,-603,-426
34,2269,6354,5905,-1669,406,-1920
35,-5190,55,-4595,-950,-345,313
36,-3449,-4965,5697,895,331,774
37,5334,3996,7771,77,270,-1125
38,3767,-2252,5340,762,990,1439
39,1691,-6067,431,1988,-1919,1469
40,1852,-4047,-4956,-1178,1167,477
41,-6432,-3351,2593,1028,541,1886
42,-5120,3457,-2105,-377,218,-1039
43,-5719,6787,6686,218,-1766,-1690
44,2106,-3054,-707,-1634,-350,207
45,7949,1074,-1874,1162,-1726,-1730
46,-6466,-1040,-7298,-970,-1775,30
47,-1372,-2059,7531,-151,581,-96
48,4482,299,-5048,507,687,1836
49,-853,7617,-6521,-1133,-434,-787
50,-6006,-6135,-5852,1356,-1533,1140
51,-5732,4996,-1060,-1447,-716,-24
52,-5106,-7104,-1469,-747,682,184
53,2208,-5983,6914,1213,372,1266
54,7294,-3461,-6054,-455,-1335,950
55,385,-1546,7676,-1516,-1602,-1414
56,3824,-6789,5333,-403,-1807,642
57,5961,5852,2003,1181,1196,1714
58,-3411,-5749,4928,-1253,-206,666
59,-7800,3350,-5950,1385,491,-1548
60,7167,3637,7688,1998,1525,282
61,6996,3080,6447,279,-1431,-1832
62,762,-5394,6703,1175,728,1778
63,3853,5084,1585,1920,243,-1057
64,2267,7523,6706,955,1752,710
65,-5337,807,-5516,1122,-923,1537
66,4854,4204,-5584,-1662,-255,591
67,404,5622,7964,1020,-1646,905
68,2448,-7377,2348,173,1375,-1130
69,4701,4938,-6857,-578,1059,-1139
70,-6247,7346,-7244,1308,1071,1222
71,6780,-3001,-3919,519,-981,-285
72,-3148,5097,1873,1205,-1496,-1277
73,4806,-4156,7213,52,240,77
74,4185,-132,-7941,-858,-1914,-1591
75,5729,-7755,4247,436,1586,645
76,-7463,-733,4207,517,748,-955
77,-7538,-6100,7037,-1969,1522,-1839
78,6977,5131,-3273,-1742,1274,1843
79,-3956,3557,6976,821,686,564
80,-1593,-6116,1754,-280,1402,1940
81,4605,4110,6010,1268,112,455
82,3591,2222,92,-306,-1097,-1657
83,196,7244,-5220,-1695,1693,-1255
84,6935,3710,1475,609,-1325,-528
85,-6788,4923,4006,-1032,-167,152
86,-1156,-2213,-2571,-1198,-359,553
87,-3561,7331,-674,-581,-1042,-217
88,263,4774,-533,412,1936,1911
89,-2456,2240,-7617,-1767,234,-452
90,5071,-3185,-4282,-1586,1851,186
91,-6069,6587,703,1249,1418,-140
92,583,4361,-3409,628,1520,1928
93,7774,5721,222,1204,-1787,1910
94,-5045,6908,-2607,1242,-594,380
95,48,-4766,-293,-240,-352,-1267
96,-6986,7108,6043,-1762,-1977,-1946
97,-7401,4589,-7691,-1611,-1758,1836
98,-5530,2061,3202,994,-14,50
99,463,-7047,7160,996,1016,1227
100,-537,-7598,6962,-1923,799,-936
101,840,-1096,2652,1467,712,-1306
102,6141,-5104,-2851,-86,-1656,670
103,5755,-5365,-1262,-1249,1811,-668
104,6534,-6445,1579,-704,-1065,1879
105,-1940,4804,-2673,-1914,1045,-116
106,932,-4501,1228,-292,217,-446
107,-3889,4000,-5388,-152,1507,-141
108,-2819,-7837,55,1932,901,-1370
109,-4589,-4892,-6172,1424,-503,617
110,6011,214,-4307,-1808,-783,-1773
111,-2792,2414,-373,19,-95,1667
112,-3989,4773,2856,-249,-1337,1162
113,-4334,7794,-4804,399,-1974,-1150
114,573,4855,-760,-1385,-1190,-945
115,7566,-7513,-2577,-726,1207,200
116,3674,6632,5555,335,237,599
117,597,-143,-5424,-45,433,8
118,-1043,-5883,5560,1737,-1157,1859
119,-1752,4570,4696,994,1856,-89
120,3427,3144,384,-1360,1119,211
121,1798,-2506,724,-1945,-1549,-1060
122,-5008,-6481,-6821,1779,1519,1771
123,-1214,-7030,4584,1273,1168,89
124,344,5863,4606,1003,-750,-84
125,-3197,-2426,4589,1824,1104,-1665
126,-5887,-1013,-3130,-1293,1425,1005
127,1069,-2913,3675,1653,585,687
128,7658,-902,5569,988,1498,-1142
129,4584,5230,5822,1975,1758,647
130,-1579,7656,-1142,799,31,1811
131,-2991,1974,848,446,-1510,-1460
132,5401,6120,6010,-1431,1147,927
133,521,7519,4440,-100,32,-1039
134,-2331,2310,4267,1050,-206,285
135,-6483,-515,-5185,1754,-485,1247
136,1103,5439,-6493,643,-1488,646
137,4628,4211,4184,-1178,1419,66
138,1744,-5042,-1282,1469,-1570,-1888
139,1185,1170,5151,1794,588,-468
140,-3779,4123,7344,-110,-498,211
141,-890,-6485,3588,-1776,-1756,356
142,5792,1741,-6710,-1343,363,369
143,2549,7220,962,-1792,959,-452
144,3391,-3299,-3224,703,-1606,1426
145,3288,-2131,2473,4,599,-1545
146,3703,-3147,-4701,1007,1835,1128
147,-7612,-2581,4074,1008,-1147,-1880
148,7150,-2189,5661,842,-1290,790
149,6163,1839,7990,-468,1241,606
150,-6794,-7586,-3838,709,-131,-855
151,3823,88,806,1920,-1838,-491
152,-1697,-7866,-7638,1358,587,886
153,-3710,-6352,-5665,1554,-229,-1165
154,-956,-1934,5301,-295,16,-1399
155,5440,2374,-2437,-1639,-1445,196
156,-2684,671,6380,-1644,54,1682
157,1236,6308,-5763,1533,-131,-1250
158,-7700,-2386,-1977,1323,1136,795
159,-4812,4994,-4740,-1800,-1844,470
160,3709,-2595,5981,-1383,655,-1494
161,-1634,7416,-907,1377,1636,643
162,-3534,1110,-6611,1711,-854,-521
163,-7056,-7108,-1709,-211,943,-1174
164,-6036,4556,-4935,333,-165,-1915
165,7723,-5416,1422,552,-910,766
166,-16,433,-1909,-1070,-205,1870
167,5806,-6824,3195,539,894,30
168,-3504,3458,-6215,549,-850,-1523
169,7922,2424,-6771,1336,-1337,-274
170,-2164,1297,-2829,1907,-1888,-835
171,-6751,5556,5652,1449,-1258,-1712
172,6226,4168,3900,1166,-1028,1550
173,1091,-235,-6281,476,-1156,-402
174,7491,6059,3548,847,-420,-1636
175,3369,3577,1964,-1682,-571,-911
176,6984,-3538,-4804,-1464,-843,298
177,634,6621,624,-650,-52,-248
