Sample,Ax,Ay,Az,Gx,Gy,Gz
0,5325,-2842,670,109,1161,-1902
1,-5302,-423,-6965,-624,64,656
2,-3659,-3143,-3601,1834,-1299,-1081
3,-259,6818,4927,-1325,-1105,-1681
4,-259,6818,4927,-1325,-1105,-1681
5,-1992,5813,1992,1247,1305,-702
6,26099,29556,18976,27765,12832,8249
7,7260,-2204,-3270,-1831,-1083,1850
8,2735,1117,-4713,1628,-1637,-1291
9,-3462,-7927,6234,-1498,730,-346
10,-1133,7384,4167,-1345,-1291,-867
11,-7129,-1476,7379,1023,658,-555
12,3394,-6683,-4359,1986,1416,-1997
13,7218,-2743,7174,-978,254,702
14,-6353,-5944,-3691,-589,-114,-1165
15,1466,-3022,5263,-758,-1216,325
16,1222,5676,652,272,-172,445
17,-5451,3303,-5487,634,701,1711
18,6868,-1643,1817,-1765,894,-903
19,-1444,6449,6078,-798,1301,-225
20,2712,-337,-388,680,-1720,862
21,4256,-1362,973,230,1090,-1588
22,3532,-3267,7784,-1001,582,-57
23,-6275,6404,-7120,-1390,-1729,-1249
24,7844,-5901,4714,-1185,815,176
25,2123,-1820,7532,-584,798,-1531
26,4277,-6236,-6373,-1721,-1318,1667
27,3142,-1630,-3358,-1278,-1181,-1593
28,-1825,-2029,-5745,-1194,247,-1597
29,-773,-3800,3597,1487,-708,852
30,-1165,6459,-4089,-1876,-1038,-80
31,207,3935,-4449,-1766,-767,-571
32,-3241,5473,1917,-394,-1794,-907
33,4949,-7742,4539,162,-1292,636
34,-1610,-5560,2522,752,1229,-1642
35,5074,1671,-4031,-1291,637,1478
36,7844,7746,-4817,291,148,-1236
37,6961,-6099,-7584,140,-781,645
38,5839,7902,-7414,883,-651,-1676
39,-5269,-4732,-4765,212,549,-61
40,6327,6666,-7006,1693,-1207,471
41,5339,-6286,-2451,-1879,-966,1182
42,4139,-4944,66,-201,-843,-1058
43,5174,-3080,-4545,-1997,1909,-586
44,6597,3334,-3943,-817,-1036,-1653
45,7637,-2678,5178,-620,-1827,-1645
46,-5733,-193,-7348,-1887,1750,1651
47,987,-7439,2687,1013,-728,985
48,4834,4991,-7466,-1278,1388,854
49,-7132,4711,7643,1402,-688,443
50,7744,7586,-2658,-1616,1362,-579
51,-7580,816,6844,-256,868,-801
52,-6412,-1316,3158,-596,991,-128
53,-4789,4183,5623,-1615,211,-884
54,78,980,-6398,1116,560,-1224
55,4063,5912,-4230,268,-14,-1270
56,6161,-6733,-1423,-1601,-1474,-1060
57,2927,-7322,6615,-260,-56,-1828
58,-4741,-563,3465,-960,1242,-1777
59,-596,6851,-568,720,645,-1895
60,-5361,-7699,-6047,865,-1500,-234
61,-2221,-2968,6837,754,1303,1152
62,-3134,-3483,-6851,1144,872,1831
63,-2302,-5159,6386,-1576,-60,-1574
64,6576,2634,1034,1050,805,-792
65,5532,-2985,-4980,537,-708,1482
66,1625,-7896,4419,528,122,610
67,4736,4117,-3500,-917,-1050,1488
68,-2746,1387,-6770,900,-176,1919
69,2573,-4810,-4752,-841,-30,1072
70,-4614,-6743,-7974,-1367,183,970
71,-552,-3663,-3524,-1134,254,1265
72,-3003,-4295,6796,-961,-965,248
73,3773,-882,-7389,-228,1267,-970
74,-5011,3582,-1290,1480,-1091,-914
75,4333,-3193,1915,1797,-902,1507
76,-4221,-4164,-6262,-678,-1452,169
77,-6820,-6835,6392,-123,58,-756
78,-1436,-7312,-6566,-266,-1418,-1933
79,237,4270,-631,-576,1294,565
80,-471,-825,-4753,381,-427,78
81,-1768,-5104,7997,905,-1710,1278
82,7059,-5242,3180,-649,1063,1005
83,-1218,5608,-6317,-705,-704,1211
84,7204,-6517,-1007,1102,1693,1336
85,3004,-6617,1324,938,-1573,1656
86,-721,4212,2608,296,-702,-1022
87,5337,-1513,-732,-877,-63,-700
88,7808,1003,3369,57,-707,-845
89,-882,-6700,-206,274,-1226,233
90,-2524,-4574,-2266,-890,-550,1417
91,-6455,-3300,6597,-909,-563,546
92,-6780,3508,-4656,1536,842,-1268
93,1800,-7147,-7298,1247,1738,-342
94,6447,1474,-916,1011,512,-1277
95,1416,-816,-5072,-940,561,-1436
96,-7030,4099,3902,-194,988,1426
97,4471,-3708,-5343,-1042,-1859,1698
98,-2367,-1097,3816,-487,290,-344
99,-3481,-2945,2557,-1360,-1972,917
100,-692,1032,2545,1845,-288,-1421
101,-736,-6637,6473,-82,-1679,-1474
102,-188,7486,5727,476,-1674,1189
103,3242,1283,5493,-742,1520,-1479
104,7866,104,7941,1421,-256,-1871
105,-4511,6194,6598,772,-1317,-47
106,4775,-2659,-3920,-1798,-1390,-1257
107,-3937,-3959,-41,-802,-957,-462
108,3979,2800,-1713,1860,88,913
109,7175,5925,7153,-534,-887,-1106
110,-6951,-570,167,-1094,363,-364
111,-5941,-1670,3393,1196,-1944,-1686
112,-1514,-6178,-1643,-96,-860,-1399
113,-1984,20,-6237,-971,1114,813
114,-1783,-1870,-237,467,1228,584
115,-2829,-1751,3171,971,-1722,1153
116,-3160,-5012,7009,1692,681,540
117,-794,-6616,-50,1193,1842,-636
118,4576,4461,-2145,501,-715,-1847
119,6303,-7109,4808,-200,227,-978
120,-4245,-2972,-2464,-1675,-1327,919
121,-4341,431,-785,869,452,711
122,-4739,-766,-3317,-822,-1388,219
123,1505,1247,-1805,-1133,726,-1701
124,-3055,1517,-2494,516,-1873,995
125,-7937,547,-6429,25,-76,803
126,3053,-5418,-5300,-897,1649,1500
127,4724,7648,923,994,704,-1428
128,6343,-7465,1657,1226,-428,1766
129,321,2699,5975,-1412,-1059,-1637
130,-3597,5906,4276,-449,-496,-1388
131,7820,4624,5554,-1765,238,587
132,-5954,1675,-2317,1790,653,-1979
133,3463,-748,2658,557,-308,1524
134,5322,1323,-4316,-885,1485,-1241
135,1237,1064,-7647,1046,1268,733
136,7997,4985,-2042,1470,1280,762
137,-7972,6361,-3198,-1823,1254,-491
138,-2889,62,6379,-1480,-1036,917
139,1683,3989,2375,-395,1270,-341
140,-4989,-1129,-447,1598,1038,716
141,3826,1716,1916,-1299,-1241,1576
142,-5214,7595,3533,1436,-396,-1100
143,-3886,3144,6187,1043,-902,-407
144,-7936,-3502,-5540,-1305,-806,505
145,-2254,-6504,-3604,-166,-241,494
146,6527,-5312,-5405,-1098,-1737,691
147,-5230,2059,5639,436,776,-863
148,-93,5514,1371,1797,347,-1925
149,-7514,2752,6395,1118,74,1465
150,-5318,-5287,323,-1930,465,1692
151,1017,-3085,-1537,307,-1369,123
152,7611,2795,3915,-730,1971,-1305
153,-1474,-3396,-2555,-1218,1392,84
154,-1147,-3262,419,-867,1691,325
155,-5167,-3620,4659,-1050,-988,-591
156,7865,-1330,-6387,-880,632,674
157,1053,-5837,4396,-1948,-96,-1368
158,5673,3907,2156,-793,914,-1275
159,-1923,6307,3590,-1841,-399,-104
160,2754,-1050,150,-996,936,-1467
161,-5287,7751,5918,1803,-1069,-1250
162,7090,-4578,3947,482,-360,978
163,924,-5249,1856,1312,-1567,-721
164,-151,-6552,-1870,-153,1389,-185
165,-4623,-5369,-4336,195,1850,-587
166,3117,109,1428,1771,741,797
167,-893,-2275,624,-838,-1053,-1619
168,6789,-4235,6289,1106,-553,-20
169,-1574,4450,-1114,337,1769,-986
170,2761,-6229,-4724,1542,-868,985
171,5836,1278,3111,305,542,-1807
172,-4896,-5900,5575,940,1666,495
173,-1831,-5013,-1955,-738,-1988,-1035
174,-7936,-1332,3038,880,595,-1842
175,-993,-2517,7543,131,-1515,-1058
176,6489,-2267,370,-315,-900,1249
177,6056,7034,-599,-964,-408,-69
178,-4819,-7120,-1112,1727,972,500
179,-777,1458,-2866,38,-1938,-1515
180,5273,-4597,-971,700,1147,1853
181,6919,501,4555,-1750,13,767
182,4793,3302,-6380,-173,1779,-490
183,-6018,-2789,160,-796,827,-343
184,-383,-1392,-6200,361,84,1092
185,7093,3783,-5718,-33,1719,944
186,3111,3183,993,203,-1344,-1159
187,-4912,312,-6035,1556,1755,487
188,-1931,2421,2874,-1097,-983,-1351
189,-6784,7635,7336,-1334,-1345,-1792
190,-5436,-755,6638,-231,-1345,-784
191,1974,-4489,-878,-1985,180,-1716
192,-1262,6500,1319,-1459,-1704,-957
193,-285,-3995,698,-687,-440,740
194,5182,969,7407,-16,-580,85
195,430,555,2953,758,335,-1244
196,6940,-7864,-1013,1499,1416,-1788
197,2390,-775,-4161,-1738,1369,-1029
198,7513,5168,-4925,-1081,1309,479
199,2890,-2703,1903,-1756,431,1255
200,-1776,-6972,-143,753,-1925,-97
201,2392,-6570,4579,589,1659,1007
202,-7399,7556,2854,-343,-1153,1705
203,-7484,2065,3580,-1302,-83,1144
204,-2260,-941,4633,738,993,1394
205,207,-57,-5501,1903,-652,1718
206,-5626,-7214,-2145,-1488,77,-1641
207,4306,-7271,1094,-1116,823,-1482
208,-1941,-7670,2654,1736,-12,-1423
209,703,-1783,-1569,-1297,718,-1632
210,4718,2861,-1046,-1605,792,121
211,4741,-2422,-5505,-49,-1454,1848
212,-7501,-4496,2436,-1452,957,-1152
213,4992,-7639,6802,-988,317,117
214,-2236,1809,-3379,-1335,-1876,253
215,600,-3258,-895,-686,-757,1157
216,5051,-7192,6175,421,-1892,1869
217,4592,2145,3611,-953,-552,699
218,1918,-7794,-7673,-2,-275,413
219,-723,-3658,-1203,469,1190,-1258
220,-657,7854,-575,-31,-345,-899
221,-5306,-7872,885,-1449,-1811,1690
222,2071,7765,-1333,-1558,1495,1862
223,-168,-7751,494,-1012,1605,1612
224,-7992,-6185,6966,-337,-595,-1855
225,-3961,-1237,383,-116,1812,-455
226,3992,-4793,4735,-1403,902,-654
227,5633,-801,4168,-304,596,-622
228,2535,5718,2526,1864,1266,-643
229,315,-12,-7240,1500,-831,1307
230,4285,7953,1319,-34,1222,1681
231,-3981,-3578,-4915,1558,747,1207
232,-1688,1780,-5767,-1168,662,-598
233,-7700,6430,3085,1066,-78,-1223
234,-6481,-2301,4282,-734,1357,252
235,4527,1236,-3411,-1433,-1577,-1874
236,5187,7758,7039,935,-1164,-1095
237,-2550,-1006,7367,-73,456,-1286
238,-5023,4903,4810,1404,-54,-865
239,-6072,4011,-5914,-1098,-760,440
240,927,6444,-5311,-1128,87,-341
241,59,975,4037,-1648,-135,1047
242,5752,-57,4398,903,84,-1201
243,-922,-5239,3799,-1124,-1915,1616
244,1530,-5287,3201,1283,-1594,-1607
245,7989,1119,5277,-107,1943,1908
246,870,-3866,-4815,-854,669,771
247,7551,3317,-6219,1518,669,-1526
248,2831,4169,-1985,9,1577,1442
249,-3163,7584,-6699,-1552,-14,1497
250,-3822,-1572,-2588,-545,743,-52
251,-1008,5616,1803,879,-876,1133
252,5573,5551,4940,676,-1103,172
253,-5175,-4316,-3912,-1988,590,-1681
254,-3149,5150,-4849,149,-870,-1649
255,6138,-2036,5146,1580,1260,1398
256,-1999,3674,-3960,177,691,-912
257,-844,-5838,7319,519,1120,-1094
258,-5953,1366,-2570,299,-596,-511
259,-2755,-6387,-2611,741,-828,-152
260,7902,372,-1847,186,-722,1420
261,-2316,1342,-5410,1153,-1215,-1535
262,-1903,-4900,603,-1305,-1085,1605
263,3385,6478,-2539,-549,547,-938
264,-5277,7417,4421,1643,-1302,36
265,-3075,-5938,-3107,1272,102,-1552
266,-3034,-6216,-779,1712,1329,-1890
267,6201,2886,6348,1440,1174,1107
268,-7021,-2807,1427,1110,-1306,-115
269,3224,7463,4653,1777,920,-1130
270,-6635,-5065,-4658,-1799,1811,469
271,-2078,-38,-7401,-1520,193,-1683
272,2998,-1305,-1263,-297,-1794,-1150
273,-5308,-7737,4613,-1145,1300,-751
274,-7262,-6601,5430,-439,1443,42
275,7376,6129,7627,25,-1269,836
276,6686,-1089,963,127,1928,-170
277,6713,-397,6518,825,-1297,176
278,-6254,7232,-1467,320,-805,1894
279,7933,-6820,594,-1267,917,-992
280,6927,1425,-3201,1071,-526,-733
281,-6271,-2975,-3240,-1327,773,1039
282,5660,-6771,-7918,-940,717,1204
283,-2887,-5732,800,-1638,218,1200
284,-1082,7003,2548,-406,1386,653
285,2653,3286,4067,1709,1198,-1211
286,-2788,4105,-5861,-1606,1931,-721
287,-6573,-5999,1185,-920,-801,682
288,-2796,7004,1498,-10,1729,-718
289,-3621,2220,5692,891,1959,-297
290,-5008,7929,1166,-1286,-82,-1279
291,2227,-4333,-959,-119,-1690,-743
292,-7208,-2815,1262,-1726,686,-1052
293,3808,3742,-3728,1924,-446,1847
